alpha,learning_rate_init,learning_rate,max_iter,early_stopping,batch_size,solver,mean_r2,std_r2
0.00031489116479568613,0.07114476009343425,constant,890,False,32,adam,0.17983730631392525,0.720410780536433
0.006796578090758156,0.00011527987128232407,constant,1031,False,64,lbfgs,0.99007768948113,0.0074907353087873985
0.0005342937261279777,0.0007476312062252305,constant,1230,False,64,adam,0.08496037995903141,0.5914832866714995
0.0011400863701127321,0.005987474910461402,adaptive,926,False,64,adam,0.6225236057912832,0.13413479968487182
0.00016536937182824412,0.00019634341572933326,constant,805,False,32,adam,-0.12849906222879046,0.6086640804942313
0.004467752817973905,0.0008612579192594886,adaptive,962,False,32,adam,0.14904412094931813,0.5213094266497271
0.002463768595899745,0.058293845429947415,adaptive,613,False,64,lbfgs,0.35693871849151504,0.432564207083318
0.00026730883107816685,0.0006963114377829289,constant,2506,False,64,adam,0.08762430789676404,0.5787461377280084
1.0521761868451132e-05,0.02795015916508337,adaptive,2428,False,64,lbfgs,0.30194266742354176,0.39030504221451384
0.0031130959561221226,0.0009833181933644897,adaptive,1313,False,32,adam,0.17164500391870874,0.5366474782818171
